time_first_jump,alfa_first_jump,beta_first_jump,t1_first_jump,t2_first_jump,time_fly,alfa_fly,beta_fly,t1_fly,t2_fly,time_jump,alfa_jump,beta_jump,t1_jump,t2_jump,dqdt_critical
0,-0.16404507610847,-1.99634292074637,-12.0363425848981,5.3310099740224,5.13976976599739,-0.571021132977938,-1.85766210349025,0,0,0,-0.545118273440642,-1.86996587922962,0.18682408544553,-0.376618995178789,3.07400267307353
0.0102040943461704,-0.166771262088571,-1.99589719189514,-11.6677990506908,5.83565670570009,5.15037069052526,-0.601322170114143,-1.84318671879952,0,0,0.0102040943461704,-0.512160878345049,-1.8856029164292,-2.35996628404806,0.897528969651712,-1.4978141967415
0.0204081886923408,-0.17369888145313,-1.99473497312343,-9.36576256724059,4.74382612388317,5.16097161505312,-0.623747599422974,-1.83247220044877,0,0,0.0204081886923408,-0.47715151739696,-1.90132815544237,-4.84384078218737,2.15314623879833,NaN
0.0306122830385112,-0.183460566179753,-1.99302319781837,-7.19058099398713,3.67867967264643,5.17157253958099,-0.63907692410142,-1.8251463535755,0,0,0.0306122830385112,-0.442198901233473,-1.91608595439106,-7.24399388487569,3.32947486741596,NaN
0.0408163773846816,-0.19430279825325,-1.99101946960816,-4.76771848475206,2.48874111667979,5.18217346410886,-0.648089647346473,-1.82083698331727,0,0,0.0408163773846816,-0.409190525274753,-1.92913174989018,-9.64966626380297,4.53666348565666,NaN
0.051020471730852,-0.204407795546662,-1.98905534877218,-2.34575326817498,1.23102339606749,5.19277438863673,-0.651565272355121,-1.8191718948116,0,0,0.051020471730852,-0.379894576802251,-1.93996576826363,-11.9931880924006,5.65437984928814,NaN
0.0612245660770224,-0.212005140460742,-1.98751761524971,-0.372921450400911,0.368355029809983,5.20337531316459,-0.650283302324354,-1.81977889319601,0,0,0.0612245660770224,-0.355519056647116,-1.94843032956864,-12.1047329763977,4.73181259065596,NaN
0.0714286604231928,-0.216078296038626,-1.98667097383284,-1.23872511080822,1.48542870711309,5.21397623769246,-0.645023240451163,-1.82228578360805,0,0,0.0714286604231928,-0.335911722918719,-1.95486389159503,-10.1230515709607,3.66926121652092,NaN
0.0816327547693632,-0.216699950388764,-1.98654037430051,-1.36041789187102,2.39626677438304,5.22457716222033,-0.636564589932537,-1.82632037118524,0,0,0.0816327547693632,-0.31973581002791,-1.95991391385428,-8.10638595495887,2.58001828119353,NaN
0.0918368491155337,-0.214394329003256,-1.98702372501374,-2.54475489114714,2.72547893148476,5.23517808674819,-0.625686853965467,-1.83151046106511,0,0,0.0918368491155337,-0.305350360165711,-1.96420738059559,-6.22218388114971,1.4680356023842,NaN
0.102040943461704,-0.209641932175429,-1.98800461295936,-2.42985141568195,3.06449037266273,5.24577901127606,-0.613169535746942,-1.8374838583852,0,0,0.102040943461704,-0.291422676098568,-1.96818689753414,-5.63639526162527,0.681142158647102,NaN
0.112245037807874,-0.202874300587409,-1.98936533291599,-3.63997803296862,3.84056646598287,5.25637993580393,-0.599792138473951,-1.84386836828303,0,0,0.112245037807874,-0.277216557028774,-1.9720661672243,-5.35653336955035,0.386632972974725,NaN
0.122449132154045,-0.194608096291004,-1.99096969553462,-3.86363080129091,4.51895900532372,5.26698086033179,-0.586334165343486,-1.85029179589613,0,0,0.122449132154045,-0.262687114813841,-1.97584597914244,-6.51519816878016,0.997842641508745,NaN
0.132653226500215,-0.185441801426099,-1.99267435615877,-5.15359477851812,5.3615768608444,5.27758178485966,-0.573575119552536,-1.85638194636204,0,0,0.132653226500215,-0.248084604336608,-1.97945087986758,-5.898950473306,0.290495746025095,NaN
0.142857320846386,-0.176170794092188,-1.9943196761649,-6.36904446105293,6.29998634998705,5.28818270938753,-0.562294504298091,-1.86176662481828,0,0,0.142857320846386,-0.233534888535513,-1.98284718291631,-6.78647584219452,0.820099736537293,NaN
0.153061415192556,-0.167907264166611,-1.995720644722,-8.34825852966177,7.41755876017732,5.2987836339154,-0.55327182277714,-1.86607363640239,0,0,0.153061415192556,-0.219236846051298,-1.98599365522646,-6.7004728433448,0.809189505256871,NaN
0.163265509538726,-0.162079798897925,-1.99667439133865,-10.5451868845901,8.43228176223616,5.30938455844326,-0.547286578186674,-1.8689307862519,0,0,0.163265509538726,-0.2055564185232,-1.98882577871035,-7.7944212138358,1.53871710577889,NaN
0.173469603884897,-0.160345009985668,-1.99695961008897,-12.7487787436048,9.56862056197886,5.31998548297113,-0.545118273723683,-1.86996587950434,0,0,0.173469603884897,-0.192857605223828,-1.99129721858491,-7.43605611305973,1.53611535028833,NaN
0.183673698231067,-0.164357148133138,-1.99632659677507,-14.6959794825719,10.4541890882433,NaN,NaN,NaN,NaN,NaN,0.183673698231067,-0.181518858812496,-1.99337545730393,-8.81857900795202,2.56264898906003,NaN
0.193877792577238,-0.175478260451308,-1.99447075724049,-15.7386566100441,10.5543159732032,NaN,NaN,NaN,NaN,NaN,0.193877792577238,-0.172216503352564,-1.99499057997961,-9.62757925840834,3.46595019672277,NaN
0.204081886923408,-0.194478183478822,-1.99101756620276,-16.043505337989,9.82629996056449,NaN,NaN,NaN,NaN,NaN,0.204081886923408,-0.166022894748694,-1.9960214940958,-11.8985051655295,4.5010223545028,NaN
0.214285981269579,-0.221467503415228,-1.98552057199989,-15.5427797315249,8.77223625834299,NaN,NaN,NaN,NaN,NaN,0.214285981269578,-0.16404507610847,-1.99634292074637,-12.0363425848981,5.3310099740224,NaN
